Gene ID,Genomic Location (Gene),Product Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL
PF3D7_0513800,"Pf3D7_05_v3:585,357..585,980(-)",ras-related protein Rab-1A,null,null,GO:0005525;GO:0003924,GTP binding;GTPase activity,null,null,GO:0005783;GO:0020008,endoplasmic reticulum;rhoptry,null,null,null,null,3.6.5.2 (Small monomeric GTPase),3.6.5.2 (Small monomeric GTPase)
PF3D7_0513900,"Pf3D7_05_v3:587,752..588,677(+)","conserved protein, unknown function",GO:0016020,membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0514000,"Pf3D7_05_v3:588,921..590,769(-)","tubulin--tyrosine ligase, putative",null,null,null,null,GO:0006464,cellular protein modification process,null,null,null,null,null,null,6.3.2.25 (Tubulin--tyrosine ligase),6.3.2.25 (Tubulin--tyrosine ligase)
PF3D7_0514100,"Pf3D7_05_v3:591,338..595,663(-)",ATP-dependent DNA helicase UvrD,null,null,GO:0005524;GO:0016787,ATP binding;hydrolase activity,null,null,GO:0005634,nucleus,GO:0043140;GO:0005515;GO:0043142,ATP-dependent 3'-5' DNA helicase activity;protein binding;single-stranded DNA-dependent ATPase activity,null,null,3.6.4.12 (DNA helicase),3.6.4.12 (DNA helicase)
PF3D7_0514200,"Pf3D7_05_v3:596,818..599,421(+)","conserved Plasmodium protein, unknown function",GO:0016020,membrane,null,null,null,null,GO:0020011,apicoplast,null,null,null,null,null,null
PF3D7_0514300,"Pf3D7_05_v3:600,047..603,433(+)","aspartate--tRNA ligase, putative",null,null,GO:0005524;GO:0004812;GO:0000166,ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding,GO:0006418,tRNA aminoacylation for protein translation,GO:0020011,apicoplast,GO:0004815,aspartate-tRNA ligase activity,GO:0006422,aspartyl-tRNA aminoacylation,6.1.1.12 (Aspartate--tRNA ligase),6.1.1.12 (Aspartate--tRNA ligase)
PF3D7_0514400,"Pf3D7_05_v3:603,951..604,023(-)",tRNA Phenylalanine,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0514500,"Pf3D7_05_v3:605,027..606,330(-)","conserved Plasmodium membrane protein, unknown function",GO:0016020,membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0514600,"Pf3D7_05_v3:607,105..608,451(-)","ribose-5-phosphate isomerase, putative",null,null,GO:0004751,ribose-5-phosphate isomerase activity,GO:0009052,"pentose-phosphate shunt, non-oxidative branch",null,null,GO:0004751,ribose-5-phosphate isomerase activity,GO:0009052;GO:0008615,"pentose-phosphate shunt, non-oxidative branch;pyridoxine biosynthetic process",5.3.1.6 (Ribose-5-phosphate isomerase),5.3.1.6 (Ribose-5-phosphate isomerase)
PF3D7_0514700,"Pf3D7_05_v3:610,089..614,771(+)","MORN repeat protein, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0514800,"Pf3D7_05_v3:615,282..617,993(-)","inositol polyphosphate multikinase, putative",null,null,GO:0016301,kinase activity,GO:0032958,inositol phosphate biosynthetic process,null,null,null,null,null,null,2.7.1.151 (Inositol-polyphosphate multikinase),2.7.1.151 (Inositol-polyphosphate multikinase)
PF3D7_0514900,"Pf3D7_05_v3:618,629..619,945(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0515000,"Pf3D7_05_v3:620,810..623,356(-)","pre-mRNA-splicing factor CWC2, putative",null,null,GO:0046872;GO:0003676,metal ion binding;nucleic acid binding,null,null,GO:0005681,spliceosomal complex,GO:0003729,mRNA binding,GO:0000398;GO:0045787;GO:0000387,"mRNA splicing, via spliceosome;positive regulation of cell cycle;spliceosomal snRNP assembly",null,null
PF3D7_0515100,"Pf3D7_05_v3:624,719..626,481(-)",rhomboid protease ROM9,GO:0016021,integral component of membrane,GO:0004252,serine-type endopeptidase activity,null,null,null,null,null,null,null,null,3.4.21.105 (Rhomboid protease),3.4.21.105 (Rhomboid protease)
PF3D7_0515200,"Pf3D7_05_v3:627,298..627,961(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,GO:0020036,Maurer's cleft,null,null,null,null,null,null
PF3D7_0515300,"Pf3D7_05_v3:628,981..635,382(+)",phosphatidylinositol 3-kinase,null,null,GO:0005488;GO:0016301,binding;kinase activity,GO:0046488,phosphatidylinositol metabolic process,GO:0005737;GO:0020020;GO:0043656,cytoplasm;food vacuole;intracellular region of host,GO:0016303;GO:0030492;GO:0005515,1-phosphatidylinositol-3-kinase activity;hemoglobin binding;protein binding,GO:0006897;GO:0046907;GO:0042493,endocytosis;intracellular transport;response to drug,2.7.1.137 (Phosphatidylinositol 3-kinase);2.7.1.150 (1-phosphatidylinositol-3-phosphate 5-kinase),2.7.1.137 (Phosphatidylinositol 3-kinase)
PF3D7_0515400,"Pf3D7_05_v3:637,354..640,381(+)","conserved protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0515500,"Pf3D7_05_v3:641,137..644,685(-)","amino acid transporter, putative",GO:0016021,integral component of membrane,GO:0005328,neurotransmitter:sodium symporter activity,GO:0006836,neurotransmitter transport,GO:0016021,integral component of membrane,null,null,null,null,null,null
PF3D7_0515600,"Pf3D7_05_v3:646,659..652,106(+)","conserved Plasmodium protein, unknown function",GO:0005737;GO:0016020,cytoplasm;membrane,null,null,GO:0006817,phosphate ion transport,null,null,null,null,null,null,null,null
PF3D7_0515700,"Pf3D7_05_v3:653,966..655,336(-)","glideosome-associated protein 40, putative",null,null,null,null,null,null,GO:0009986;GO:0005737;GO:0070258;GO:0016021;GO:0005634,cell surface;cytoplasm;inner membrane pellicle complex;integral component of membrane;nucleus,null,null,null,null,null,null
PF3D7_0515800,"Pf3D7_05_v3:658,423..658,677(-)","BolA-like protein, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0515900,"Pf3D7_05_v3:660,150..661,136(-)","NLI interacting factor-like phosphatase, putative",null,null,GO:0016791,phosphatase activity,null,null,GO:0005737,cytoplasm,null,null,null,null,null,3.1.3.16 (Protein-serine/threonine phosphatase)
PF3D7_0516000,"Pf3D7_05_v3:663,551..666,917(+)","RAP protein, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0516100,"Pf3D7_05_v3:667,486..674,861(+)",cation-transporting ATPase 1,GO:0016021,integral component of membrane,GO:0016887;GO:0000166,ATPase activity;nucleotide binding,GO:0006812,cation transport,GO:0016021;GO:0005886,integral component of membrane;plasma membrane,null,null,null,null,3.6.3.12 (Potassium-transporting ATPase),3.6.3.12 (Potassium-transporting ATPase)
PF3D7_0516200,"Pf3D7_05_v3:675,809..676,614(-)",40S ribosomal protein S11,GO:0005840,ribosome,GO:0003735,structural constituent of ribosome,GO:0006412,translation,GO:0022627;GO:1903561;GO:0005634,cytosolic small ribosomal subunit;extracellular vesicle;nucleus,GO:0003723,RNA binding,GO:0006412,translation,null,null
PF3D7_0516300,"Pf3D7_05_v3:678,910..680,955(+)","tRNA pseudouridine synthase, putative",null,null,GO:0003723;GO:0009982,RNA binding;pseudouridine synthase activity,GO:0009451;GO:0001522,RNA modification;pseudouridine synthesis,GO:0020011,apicoplast,null,null,null,null,4.2.1.70 (Pseudouridylate synthase);5.4.99.12 (tRNA pseudouridine(38-40) synthase),5.4.99.12 (tRNA pseudouridine(38-40) synthase)
PF3D7_0516400,"Pf3D7_05_v3:681,430..682,437(-)","phosducin-like protein 1, putative",GO:0005737,cytoplasm,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0516500,"Pf3D7_05_v3:683,708..685,859(+)","major facilitator superfamily domain-containing protein, putative",GO:0016021,integral component of membrane,null,null,GO:0055085,transmembrane transport,GO:0016021,integral component of membrane,GO:0005215,transporter activity,GO:0006810,transport,null,null
PF3D7_0516600,"Pf3D7_05_v3:686,810..691,642(-)",sporozoite surface antigen MB2,null,null,GO:0005525;GO:0003924;GO:0003676,GTP binding;GTPase activity;nucleic acid binding,null,null,GO:0020011;GO:0005737;GO:0005829;GO:0005634;GO:0005886;GO:0020003,apicoplast;cytoplasm;cytosol;nucleus;plasma membrane;symbiont-containing vacuole,GO:0005525;GO:0008135,"GTP binding;translation factor activity, RNA binding",GO:0006412,translation,null,null
PF3D7_0516700,"Pf3D7_05_v3:694,492..698,778(+)","ubiquitin carboxyl-terminal hydrolase 2, putative",null,null,GO:0036459,thiol-dependent ubiquitinyl hydrolase activity,GO:0016579;GO:0006511,protein deubiquitination;ubiquitin-dependent protein catabolic process,null,null,GO:0004843,thiol-dependent ubiquitin-specific protease activity,GO:0016579,protein deubiquitination,3.4.19.12 (Ubiquitinyl hydrolase 1),3.4.19.12 (Ubiquitinyl hydrolase 1)
PF3D7_0516800,"Pf3D7_05_v3:700,120..707,256(-)","AP2 domain transcription factor AP2-O2, putative",null,null,GO:0003700,DNA-binding transcription factor activity,GO:0006355,"regulation of transcription, DNA-templated",GO:0005634,nucleus,GO:0043565,sequence-specific DNA binding,null,null,null,null
PF3D7_0516900,"Pf3D7_05_v3:712,762..713,772(-)",60S ribosomal protein L2,GO:0005622;GO:0005840,intracellular;ribosome,GO:0003735,structural constituent of ribosome,GO:0006412,translation,GO:0022625;GO:0005634,cytosolic large ribosomal subunit;nucleus,GO:0003735,structural constituent of ribosome,GO:0006412,translation,null,null
PF3D7_0517000,"Pf3D7_05_v3:715,765..716,675(-)","60S ribosomal protein L12, putative",GO:0005840,ribosome,GO:0003735,structural constituent of ribosome,GO:0006412,translation,GO:0005634,nucleus,null,null,null,null,null,null
PF3D7_0517100,"Pf3D7_05_v3:718,425..719,855(-)","conserved protein, unknown function",null,null,null,null,null,null,GO:0020011,apicoplast,null,null,null,null,null,null
PF3D7_0517200,"Pf3D7_05_v3:720,743..722,641(-)","conserved Plasmodium protein, unknown function",GO:0005737;GO:0016021;GO:0016020,cytoplasm;integral component of membrane;membrane,GO:0005515,protein binding,null,null,null,null,null,null,null,null,null,null
PF3D7_0517300,"Pf3D7_05_v3:724,681..725,751(-)",serine/arginine-rich splicing factor 1,null,null,GO:0003676,nucleic acid binding,null,null,GO:0005737;GO:0005634;GO:0005681,cytoplasm;nucleus;spliceosomal complex,GO:0003723,RNA binding,GO:0008380;GO:0006397;GO:0048024,"RNA splicing;mRNA processing;regulation of mRNA splicing, via spliceosome",null,null
PF3D7_0517400,"Pf3D7_05_v3:731,407..735,162(+)","FACT complex subunit SPT16, putative",null,null,null,null,null,null,GO:0005634,nucleus,null,null,GO:0006351,"transcription, DNA-templated",null,null
PF3D7_0517500,"Pf3D7_05_v3:735,887..738,400(-)","UTP--glucose-1-phosphate uridylyltransferase, putative",GO:0005737,cytoplasm,GO:0003983;GO:0016779;GO:0070569,UTP:glucose-1-phosphate uridylyltransferase activity;nucleotidyltransferase activity;uridylyltransferase activity,GO:0008152,metabolic process,null,null,null,null,null,null,2.7.7.9 (UTP--glucose-1-phosphate uridylyltransferase),2.7.7.9 (UTP--glucose-1-phosphate uridylyltransferase)
PF3D7_0517600,"Pf3D7_05_v3:740,156..741,034(-)","F-actin-capping protein subunit beta, putative",GO:0008290,F-actin capping protein complex,null,null,GO:0051016,barbed-end actin filament capping,GO:0008290;GO:0044310,F-actin capping protein complex;osmiophilic body,null,null,GO:0051693;GO:0051016;GO:0030260,actin filament capping;barbed-end actin filament capping;entry into host cell,null,null
PF3D7_0517700,"Pf3D7_05_v3:743,179..745,329(+)","eukaryotic translation initiation factor 3 subunit B, putative",GO:0005852,eukaryotic translation initiation factor 3 complex,GO:0003723;GO:0003676;GO:0003743;GO:0031369,RNA binding;nucleic acid binding;translation initiation factor activity;translation initiation factor binding,GO:0006413,translational initiation,GO:0005634,nucleus,null,null,null,null,null,null
PF3D7_0517800,"Pf3D7_05_v3:745,798..746,634(-)","apicortin, putative",null,null,GO:0000166,nucleotide binding,GO:0035556,intracellular signal transduction,null,null,null,null,null,null,null,null
PF3D7_0517900,"Pf3D7_05_v3:747,795..749,677(-)","zinc finger protein, putative",GO:0005622,intracellular,GO:0008270,zinc ion binding,null,null,GO:0000781,"chromosome, telomeric region",GO:0008270,zinc ion binding,null,null,null,null
PF3D7_0518000,"Pf3D7_05_v3:750,661..752,435(+)","NOSIP domain-containing protein, putative",null,null,GO:0061630,ubiquitin protein ligase activity,null,null,null,null,null,null,null,null,null,null
PF3D7_0518100,"Pf3D7_05_v3:753,298..757,544(+)",protein AMR2,null,null,null,null,null,null,GO:0020011,apicoplast,null,null,GO:0009657,plastid organization,null,null
PF3D7_0518200,"Pf3D7_05_v3:758,503..758,898(-)",SWIB/MDM2 domain-containing protein,null,null,GO:0005515,protein binding,null,null,GO:0005739;GO:0005634,mitochondrion;nucleus,GO:0005515,protein binding,null,null,null,null
PF3D7_0518300,"Pf3D7_05_v3:759,831..760,998(-)","proteasome subunit beta type-1, putative",GO:0005839,proteasome core complex,GO:0004298,threonine-type endopeptidase activity,GO:0051603,proteolysis involved in cellular protein catabolic process,GO:0005634;GO:0005839,nucleus;proteasome core complex,GO:0004175,endopeptidase activity,GO:0006511,ubiquitin-dependent protein catabolic process,3.4.25.1 (Proteasome endopeptidase complex),3.4.25.1 (Proteasome endopeptidase complex)
PF3D7_0518400,"Pf3D7_05_v3:762,103..762,792(-)","cyclin, putative",null,null,GO:0019901,protein kinase binding,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0005829;GO:0005634,cytosol;nucleus,null,null,GO:0045736;GO:0051726,negative regulation of cyclin-dependent protein serine/threonine kinase activity;regulation of cell cycle,null,null
PF3D7_0518500,"Pf3D7_05_v3:763,532..766,903(-)","ATP-dependent RNA helicase DDX23, putative",null,null,GO:0005524;GO:0003676,ATP binding;nucleic acid binding,null,null,null,null,null,null,null,null,3.6.4.13 (RNA helicase),3.6.4.13 (RNA helicase)
PF3D7_0518600,"Pf3D7_05_v3:769,310..773,140(+)","WD repeat-containing protein 26, putative",null,null,GO:0005515,protein binding,null,null,null,null,null,null,null,null,null,null
PF3D7_0518700,"Pf3D7_05_v3:774,075..780,438(-)",mRNA-binding protein PUF1,null,null,GO:0003723;GO:0005488,RNA binding;binding,null,null,GO:0005737,cytoplasm,GO:0003729,mRNA binding,GO:0043487;GO:0006417,regulation of RNA stability;regulation of translation,null,null
PF3D7_0518800,"Pf3D7_05_v3:783,638..784,991(-)","secreted ookinete protein, putative",GO:0005634,nucleus,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0518900,"Pf3D7_05_v3:785,664..786,565(-)","conserved protein, unknown function",null,null,null,null,null,null,GO:0070258,inner membrane pellicle complex,null,null,null,null,null,null
PF3D7_0519000,"Pf3D7_05_v3:788,599..789,480(+)","histone RNA hairpin-binding protein, putative",GO:0005737;GO:0005634,cytoplasm;nucleus,GO:0003723,RNA binding,GO:0006397,mRNA processing,null,null,null,null,null,null,null,null
PF3D7_0519100,"Pf3D7_05_v3:790,399..790,773(+)","50S ribosomal protein L14, mitochondrial, putative",GO:0005840,ribosome,GO:0003735,structural constituent of ribosome,GO:0006412,translation,null,null,null,null,null,null,null,null
PF3D7_0519200,"Pf3D7_05_v3:791,719..792,936(-)",V-type proton ATPase 16 kDa proteolipid subunit,GO:0033179;GO:0033177,"proton-transporting V-type ATPase, V0 domain;proton-transporting two-sector ATPase complex, proton-transporting domain",GO:0015078,proton transmembrane transporter activity,GO:0015991,ATP hydrolysis coupled proton transport,null,null,null,null,null,null,3.6.3.14 (H(+)-transporting two-sector ATPase),3.6.3.14 (H(+)-transporting two-sector ATPase)
PF3D7_0519300,"Pf3D7_05_v3:795,527..797,473(+)","protoheme IX farnesyltransferase, putative",GO:0016021,integral component of membrane,GO:0008495;GO:0016765,"protoheme IX farnesyltransferase activity;transferase activity, transferring alkyl or aryl (other than methyl) groups",GO:0048034,heme O biosynthetic process,null,null,GO:0004659,prenyltransferase activity,null,null,null,"2.5.1.- (Transferring alkyl or aryl groups, other than methyl groups.)"
PF3D7_0519400,"Pf3D7_05_v3:798,036..798,775(-)",40S ribosomal protein S24,GO:0005622;GO:0005840,intracellular;ribosome,GO:0003735,structural constituent of ribosome,GO:0006412,translation,GO:0022627;GO:0005634,cytosolic small ribosomal subunit;nucleus,null,null,null,null,null,null
PF3D7_0519500,"Pf3D7_05_v3:801,450..809,127(-)","CCR4 domain-containing protein 1, putative",null,null,null,null,null,null,GO:0030014;GO:0005737,CCR4-NOT complex;cytoplasm,null,null,null,null,null,3.1.13.4 (Poly(A)-specific ribonuclease)
PF3D7_0519600,"Pf3D7_05_v3:812,648..814,915(+)","zinc finger protein, putative",GO:0005634,nucleus,GO:0008270,zinc ion binding,null,null,null,null,null,null,null,null,null,null
PF3D7_0519700,"Pf3D7_05_v3:817,066..819,139(+)","FoP domain-containing protein, putative",null,null,null,null,null,null,GO:0005634,nucleus,null,null,null,null,null,null
PF3D7_0519800,"Pf3D7_05_v3:820,719..822,908(-)","EELM2 domain-containing protein, putative",null,null,null,null,null,null,GO:0005634,nucleus,null,null,null,null,null,null
PF3D7_0519900,"Pf3D7_05_v3:825,835..827,412(-)","conserved protein, unknown function",null,null,null,null,null,null,GO:0020011,apicoplast,null,null,null,null,null,null
PF3D7_0520000,"Pf3D7_05_v3:828,953..829,883(+)","40S ribosomal protein S9, putative",GO:0005622;GO:0015935,intracellular;small ribosomal subunit,GO:0003723;GO:0019843;GO:0003735,RNA binding;rRNA binding;structural constituent of ribosome,GO:0006412,translation,GO:0005634;GO:0032040,nucleus;small-subunit processome,GO:0003735,structural constituent of ribosome,null,null,null,null
PF3D7_0520100,"Pf3D7_05_v3:831,617..834,343(+)","protein phosphatase PPM9, putative",null,null,GO:0003824,catalytic activity,null,null,null,null,GO:0003824,catalytic activity,null,null,3.1.3.16 (Protein-serine/threonine phosphatase),3.1.3.16 (Protein-serine/threonine phosphatase)
PF3D7_0520200,"Pf3D7_05_v3:835,314..837,407(-)","mediator of RNA polymerase II transcription subunit 17, putative",null,null,null,null,null,null,GO:0016592,mediator complex,null,null,null,null,null,null
PF3D7_0520300,"Pf3D7_05_v3:838,428..839,083(+)","U6 snRNA-associated Sm-like protein LSm2, putative",null,null,null,null,GO:0006397,mRNA processing,GO:0005688;GO:0005622;GO:0005732,U6 snRNP;intracellular;small nucleolar ribonucleoprotein complex,null,null,GO:0000398,"mRNA splicing, via spliceosome",null,null
PF3D7_0520400,"Pf3D7_05_v3:839,655..840,560(-)","single-stranded DNA-binding protein, putative",null,null,GO:0003677,DNA binding,GO:0006355,"regulation of transcription, DNA-templated",GO:0005622;GO:0005634,intracellular;nucleus,null,null,null,null,null,null
PF3D7_0520500,"Pf3D7_05_v3:841,723..842,655(-)","phosphomethylpyrimidine kinase, putative",null,null,null,null,null,null,null,null,GO:0016301,kinase activity,GO:0009228,thiamine biosynthetic process,2.7.1.49 (Hydroxymethylpyrimidine kinase);2.7.4.7 (Phosphomethylpyrimidine kinase),2.7.4.7 (Phosphomethylpyrimidine kinase)
PF3D7_0520600,"Pf3D7_05_v3:843,586..844,817(-)",bis(5'-nucleosyl)-tetraphosphatase [asymmetrical],null,null,GO:0008796;GO:0016787,bis(5'-nucleosyl)-tetraphosphatase activity;hydrolase activity,null,null,GO:0033644,host cell membrane,GO:0004081,bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity,null,null,3.6.1.17 (Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical)),3.6.1.17 (Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical))
PF3D7_0520700,"Pf3D7_05_v3:845,843..848,767(-)","CDC73 domain-containing protein, putative",GO:0005634,nucleus,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0520800,"Pf3D7_05_v3:849,862..856,026(-)","conserved protein, unknown function",GO:0005634,nucleus,GO:0000166,nucleotide binding,null,null,GO:0020011,apicoplast,null,null,null,null,null,null
PF3D7_0520900,"Pf3D7_05_v3:857,038..858,477(+)",adenosylhomocysteinase,null,null,GO:0004013,adenosylhomocysteinase activity,null,null,GO:0005622,intracellular,null,null,null,null,3.3.1.1 (Adenosylhomocysteinase),3.3.1.1 (Adenosylhomocysteinase)
PF3D7_0521000,"Pf3D7_05_v3:859,373..861,063(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,GO:0005634,nucleus,null,null,null,null,null,null
PF3D7_0521100,"Pf3D7_05_v3:861,930..867,583(-)","conserved Plasmodium protein, unknown function",null,null,GO:0005524,ATP binding,null,null,null,null,null,null,null,null,null,null
PF3D7_0521200,"Pf3D7_05_v3:868,892..869,878(+)","conserved protein, unknown function",GO:0005737,cytoplasm,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0521300,"Pf3D7_05_v3:870,184..874,570(-)","zinc finger protein, putative",GO:0016459,myosin complex,GO:0005524;GO:0003779;GO:0005516;GO:0003774,ATP binding;actin binding;calmodulin binding;motor activity,null,null,null,null,null,null,null,null,null,null
PF3D7_0521400,"Pf3D7_05_v3:875,873..877,561(-)","conserved protein, unknown function",null,null,null,null,null,null,GO:0020011,apicoplast,null,null,null,null,null,null
PF3D7_0521500,"Pf3D7_05_v3:878,068..879,762(+)","ribosomal large subunit pseudouridylate synthase, putative",null,null,GO:0003723;GO:0009982,RNA binding;pseudouridine synthase activity,GO:0009451;GO:0001522,RNA modification;pseudouridine synthesis,null,null,GO:0004730,pseudouridylate synthase activity,GO:0006364,rRNA processing,4.2.1.70 (Pseudouridylate synthase),4.2.1.70 (Pseudouridylate synthase)
PF3D7_0521600,"Pf3D7_05_v3:880,065..880,355(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0521700,"Pf3D7_05_v3:882,376..884,901(+)","ATP-dependent RNA helicase DDX1, putative",null,null,GO:0005524;GO:0003676;GO:0005515,ATP binding;nucleic acid binding;protein binding,null,null,null,null,GO:0008026,ATP-dependent helicase activity,null,null,3.6.4.13 (RNA helicase),3.6.4.13 (RNA helicase)
PF3D7_0521800,"Pf3D7_05_v3:885,714..888,232(+)","AFG1-like ATPase, putative",null,null,GO:0005524,ATP binding,null,null,GO:0005739,mitochondrion,null,null,null,null,null,null
PF3D7_0521900,"Pf3D7_05_v3:888,657..895,144(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0522000,"Pf3D7_05_v3:896,018..896,940(+)","conserved Plasmodium protein, unknown function",null,null,GO:0003677;GO:0003899;GO:0016779;GO:0046983,DNA binding;DNA-directed 5'-3' RNA polymerase activity;nucleotidyltransferase activity;protein dimerization activity,GO:0006351,"transcription, DNA-templated",null,null,null,null,null,null,null,null
PF3D7_0522100,"Pf3D7_05_v3:897,465..899,756(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0522200,"Pf3D7_05_v3:901,414..902,173(+)","transcription initiation factor TFIID subunit 10, putative",null,null,null,null,null,null,GO:0005669,transcription factor TFIID complex,null,null,GO:0006366,transcription by RNA polymerase II,null,null
PF3D7_0522300,"Pf3D7_05_v3:902,613..904,844(-)","18S rRNA (guanine-N(7))-methyltransferase, putative",null,null,GO:0008168;GO:0016435,methyltransferase activity;rRNA (guanine) methyltransferase activity,GO:0008152;GO:0070476,metabolic process;rRNA (guanine-N7)-methylation,null,null,GO:0016435,rRNA (guanine) methyltransferase activity,GO:0070476,rRNA (guanine-N7)-methylation,2.1.1.12 (Methionine S-methyltransferase),2.1.1.12 (Methionine S-methyltransferase)
PF3D7_0522400,"Pf3D7_05_v3:907,837..936,315(+)","conserved Plasmodium protein, unknown function",null,null,null,null,GO:0008104;GO:0015031,protein localization;protein transport,null,null,null,null,null,null,null,null
PF3D7_0522500,"Pf3D7_05_v3:937,231..938,037(+)","50S ribosomal protein L17, apicoplast, putative",GO:0005622;GO:0005840,intracellular;ribosome,GO:0003735,structural constituent of ribosome,GO:0006412,translation,GO:0020011;GO:0005762,apicoplast;mitochondrial large ribosomal subunit,GO:0003735,structural constituent of ribosome,GO:0006412,translation,null,null
PF3D7_0522600,"Pf3D7_05_v3:940,249..941,700(+)",inner membrane complex protein,GO:0016021;GO:0016020,integral component of membrane;membrane,GO:0015095,magnesium ion transmembrane transporter activity,GO:0015693,magnesium ion transport,GO:0070258,inner membrane pellicle complex,null,null,null,null,null,null
PF3D7_0522700,"Pf3D7_05_v3:942,767..943,873(+)",iron-sulfur assembly protein,null,null,GO:0051536;GO:0005198,iron-sulfur cluster binding;structural molecule activity,GO:0097428,protein maturation by iron-sulfur cluster transfer,GO:0020011,apicoplast,null,null,null,null,null,null
PF3D7_0522800,"Pf3D7_05_v3:944,184..944,931(-)","pre-mRNA-splicing factor BUD31, putative",GO:0005634,nucleus,null,null,null,null,GO:0005686;GO:0005634,U2 snRNP;nucleus,null,null,GO:0008380;GO:0000380,"RNA splicing;alternative mRNA splicing, via spliceosome",null,null
PF3D7_0522900,"Pf3D7_05_v3:948,951..953,609(+)","zinc finger protein, putative",GO:0005634,nucleus,GO:0003723;GO:0046872;GO:0008270,RNA binding;metal ion binding;zinc ion binding,null,null,null,null,null,null,null,null,null,null
PF3D7_0523000,"Pf3D7_05_v3:957,890..962,149(+)",multidrug resistance protein 1,GO:0016021,integral component of membrane,GO:0005524;GO:0016887;GO:0042626,"ATP binding;ATPase activity;ATPase activity, coupled to transmembrane movement of substances",GO:0055085,transmembrane transport,GO:0020020;GO:0016021;GO:0005634,food vacuole;integral component of membrane;nucleus,GO:0042626;GO:0015238,"ATPase activity, coupled to transmembrane movement of substances;drug transmembrane transporter activity",GO:0042493,response to drug,3.6.3.44 (Xenobiotic-transporting ATPase),3.6.3.44 (Xenobiotic-transporting ATPase)
PF3D7_0523100,"Pf3D7_05_v3:963,227..965,044(-)","mitochondrial-processing peptidase subunit alpha, putative",null,null,GO:0003824;GO:0046872,catalytic activity;metal ion binding,null,null,GO:0017087;GO:0005739,mitochondrial processing peptidase complex;mitochondrion,GO:0004222,metalloendopeptidase activity,GO:0006627,protein processing involved in protein targeting to mitochondrion,3.4.24.64 (Mitochondrial processing peptidase),3.4.24.64 (Mitochondrial processing peptidase)
PF3D7_0523200,"Pf3D7_05_v3:966,123..969,737(+)","heptatricopeptide repeat-containing protein, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0523300,"Pf3D7_05_v3:970,266..970,962(-)","cytochrome c oxidase subunit ApiCOX18, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0523400,"Pf3D7_05_v3:973,518..975,876(+)","DnaJ protein, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0523500,"Pf3D7_05_v3:976,690..977,815(-)","dynein light chain Tctex-type, putative",null,null,null,null,null,null,GO:0030286,dynein complex,null,null,null,null,null,null
PF3D7_0523600,"Pf3D7_05_v3:978,665..979,870(+)","conserved protein, unknown function",GO:0005737,cytoplasm,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0523700,"Pf3D7_05_v3:980,754..985,354(-)","conserved Plasmodium membrane protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0523800,"Pf3D7_05_v3:990,005..992,059(+)","divalent metal transporter, putative",GO:0016020,membrane,GO:0046873,metal ion transmembrane transporter activity,GO:0030001,metal ion transport,GO:0016021,integral component of membrane,null,null,null,null,null,null
PF3D7_0523900,"Pf3D7_05_v3:993,433..994,607(-)","MerC domain-containing protein, putative",GO:0016020,membrane,GO:0015097,mercury ion transmembrane transporter activity,GO:0015694,mercury ion transport,GO:0016021,integral component of membrane,null,null,null,null,null,null
